,id,img,label,pred_amz_value
0,1770,./annot_2000_no_politics/EeVg4ulU4AA8-W-.jpg,0,0
1,2629,./annot_3000_hate/EWfB6o6VcAErZAx.jpg,1,0
2,719,./annot_2000_no_politics/EVXYkh-WoAEkrf_.jpg,0,0
3,1503,./annot_3000_hate/EoRblq-UUAEAz-y.jpg,0,0
4,1001,./annot_3000_hate/EU2p99sU4AA58Xa.jpg,0,0
5,210,./annot_2000_no_politics/Ep8eIyGXIAM28oh.jpg,0,0
6,2814,./annot_3000_hate/EUkRFieXYAAOvfr.jpg,0,0
7,1812,./annot_2000_no_politics/EPwQI4_X0AAhQoD.jpg,0,0
8,2701,./annot_3000_hate/EWkZdAcVcAEoHax.jpg,1,0
9,2530,./annot_3000_hate/EUey9_DWoAIMbZe.jpg,0,0
10,1939,./annot_2000_no_politics/Ey-jrPuWUAcSHHg.jpg,0,0
11,2577,./annot_3000_hate/Efq9sbjUEAEyo0_.jpg,0,0
12,2558,./annot_3000_hate/EtfZc3gXAAIWfV8.jpg,1,0
13,1664,./annot_3000_hate/EeX9JkLXoAAvDCY.jpg,1,0
14,758,./annot_3000_hate/EgHh082WkAEP_eR.jpg,0,1
15,967,./annot_2000_no_politics/EWu8or8XYAALo1g.jpg,0,0
16,191,./annot_2000_no_politics/Eyl5XSqXIAAV0ol.jpg,1,0
17,1923,./annot_2000_no_politics/Eesh4YRXYAA2YJC.png,0,0
18,491,./annot_2000_no_politics/EWNsPwHXgAQhJeX.png,0,0
19,1819,./annot_3000_hate/Eqb1fd8VgAI0pcQ.jpg,1,0
20,313,./annot_3000_hate/Ep1r6B5UcAA9fY5.jpg,0,0
21,1412,./annot_3000_hate/EUiZlwrXYAYwljm.jpg,1,0
22,1561,./annot_2000_no_politics/EVtW1G2UYAAIV5Z.jpg,0,0
23,1759,./annot_3000_hate/EQ0Xs11XsAIyhxl.jpg,1,0
24,1194,./annot_2000_no_politics/EeS9-MDVAAAEhx_.jpg,1,0
25,714,./annot_3000_hate/EqM-1qIXIAchwE-.jpg,1,0
26,1844,./annot_2000_no_politics/Eycn0-sWgAI77_m.jpg,0,0
27,2840,./annot_3000_hate/EtiDxDZXIAA02qT.jpg,1,0
28,2683,./annot_3000_hate/EpPclEEWEAoImIK.jpg,0,0
29,936,./annot_3000_hate/EgSCcyJWoAA7SZB.jpg,0,0
30,2436,./annot_3000_hate/EQaVmfAXYAABtDx.jpg,0,0
31,294,./annot_2000_no_politics/EpUJGqoXYAAcLyH.jpg,0,0
32,952,./annot_2000_no_politics/EV3qvqKXgAIhiv_.jpg,0,0
33,446,./annot_2000_no_politics/EQ_UzDMUwAo3gb5.jpg,0,0
34,606,./annot_2000_no_politics/Ee9lOXdXYAI0Hzl.jpg,0,1
35,2652,./annot_3000_hate/Ee_dcwEXYAIApeF.jpg,1,0
36,673,./annot_2000_no_politics/EzmVa-jVkAMroO1.jpg,0,0
37,2357,./annot_3000_hate/EgaKO8sXkAAEOFE.jpg,0,0
38,1303,./annot_2000_no_politics/EWeaf7lXYA8OkiE.png,0,0
39,2522,./annot_3000_hate/EvAb4V5XMAkEkIc.jpg,1,0
40,1169,./annot_3000_hate/EWOLl9QUMAAnoiY.jpg,0,0
41,500,./annot_2000_no_politics/EUw5-NeXkAE3NYg.jpg,0,0
42,667,./annot_3000_hate/Eyx2onWUUAEZOC0.jpg,0,0
43,1658,./annot_3000_hate/EVwEZLxUYAAE2BQ.jpg,0,0
44,248,./annot_2000_no_politics/Eu-RfzKWgAE_G5H.jpg,0,0
45,132,./annot_3000_hate/EfK9J_XXgAQQKmp.jpg,0,0
46,123,./annot_2000_no_politics/EVf1VieX0AA0MiH.jpg,0,0
47,950,./annot_2000_no_politics/Epq7OkcU0AA7ixd.jpg,1,0
48,1853,./annot_2000_no_politics/Ezl9F3jX0AEIRBT.jpg,0,0
49,1900,./annot_3000_hate/Epht_KUXUAMSTGo.jpg,0,0
50,2136,./annot_3000_hate/Et4HU8vUcAEY7y5.jpg,0,0
51,805,./annot_2000_no_politics/EUkic7sXQAEESUK.jpg,0,0
52,341,./annot_2000_no_politics/EWau1hnWoAAMQmm.jpg,1,0
53,1643,./annot_2000_no_politics/EVelbEAWAAEv9pP.jpg,0,0
54,2565,./annot_3000_hate/EgFQgIxWAAILZvs.jpg,0,0
55,1201,./annot_3000_hate/EUjGb3JUMAAPXlU.jpg,1,0
56,703,./annot_3000_hate/Eqfc-1ZVkAEmMco.jpg,1,0
57,2684,./annot_3000_hate/EQpg8nsUcAIkLud.jpg,1,0
58,1891,./annot_3000_hate/EQDwJNiVAAAW4yZ.jpg,0,0
59,1035,./annot_3000_hate/EWeIoSlX0AIQvn8.jpg,1,0
60,2196,./annot_3000_hate/EWBkAYdU0AEZY0s.jpg,0,0
61,939,./annot_2000_no_politics/EfrDA-UWoAEr30w.jpg,1,0
62,2090,./annot_3000_hate/EWAikEQUcAApNQq.jpg,0,0
63,1220,./annot_2000_no_politics/EgFX2dqWsAASgr7.jpg,1,0
64,1755,./annot_3000_hate/EfA_V_TXYAIKcyx.jpg,1,0
65,1214,./annot_3000_hate/Eo9RZ1AVQAINgq3.jpg,1,0
66,1280,./annot_2000_no_politics/E0AurqjX0AE96Ay.png,0,0
67,1990,./annot_3000_hate/EVop4UbU8AAar3h.jpg,0,0
68,2118,./annot_3000_hate/ERvWuh4UcAEdfwU.jpg,1,0
69,2694,./annot_3000_hate/EUwuSc-UcAA2UXf.jpg,1,0
70,1225,./annot_2000_no_politics/Ef3Skc_XsAIm1bP.jpg,1,0
71,2403,./annot_3000_hate/Ez5chJUVUAA1-Ud.jpg,0,0
72,1603,./annot_2000_no_politics/EqfLHKLXUAAZ2W-.jpg,0,0
73,158,./annot_3000_hate/EgdrAh9XgAALkGq.jpg,1,0
74,1912,./annot_3000_hate/EWSk7tOXsAER36_.jpg,1,0
75,388,./annot_2000_no_politics/EpTb3FkWMAEUQqQ.jpg,0,0
76,2656,./annot_3000_hate/EfI7c1ZU0AAOV4s.jpg,0,0
77,306,./annot_3000_hate/EUqS_4BUUAAaGmJ.jpg,0,0
78,733,./annot_3000_hate/EQqP74-XsAAQe7z.jpg,1,0
79,1563,./annot_2000_no_politics/EgCPzJHXkAENP8Q.jpg,0,0
80,1440,./annot_2000_no_politics/Ee6iO-bXkAIipHv.jpg,0,0
81,1081,./annot_2000_no_politics/EpPlRFHXEAA1EEt.jpg,0,0
82,333,./annot_2000_no_politics/ERtLeI7W4AEBRx6.jpg,0,0
83,1983,./annot_3000_hate/ERJCQ2lXkAE7GG8.jpg,1,0
84,2865,./annot_3000_hate/EtSp8V7VkAA0DeJ.jpg,0,0
85,874,./annot_3000_hate/EVTZpm-UEAEsiYq.jpg,0,0
86,2420,./annot_3000_hate/EVfWXjkU0AEKvUc.jpg,0,0
87,2511,./annot_3000_hate/EfTLCBJXsAEBqBd.jpg,1,0
88,804,./annot_3000_hate/EUrvXl5UwAAobzf.jpg,1,0
89,226,./annot_2000_no_politics/EuAl1j3VcAI5T9P.jpg,0,0
90,1921,./annot_3000_hate/Eef9dm_X0AIlv-E.jpg,0,0
91,2767,./annot_3000_hate/EgRBk3uWkAIVIFV.jpg,0,0
92,2105,./annot_3000_hate/EVgh1DkX0AAJqa8.jpg,0,0
93,2713,./annot_3000_hate/EgXBe-eXoAEGiMs.jpg,1,0
94,1323,./annot_3000_hate/EgsgRyQXgAA3T9w.jpg,0,0
95,435,./annot_2000_no_politics/EpVM9otU0AAAtFz.jpg,0,0
96,2525,./annot_3000_hate/EQITvfsU4AAv34d.jpg,1,0
97,1719,./annot_2000_no_politics/EfTAx3sXgAAaVva.jpg,0,0
98,1380,./annot_3000_hate/EfN-tUdWoAIdXqf.jpg,1,0
99,1494,./annot_2000_no_politics/Eytf9O_UUAEOTFr.jpg,0,0
100,2390,./annot_3000_hate/EevP9oZXoAAd2eB.jpg,0,0
101,780,./annot_2000_no_politics/Ez_i7SHUcAEhx68.jpg,0,0
102,202,./annot_3000_hate/EeUGJnnUEAAfeVi.jpg,0,0
103,2379,./annot_3000_hate/EVxHxd7XsAE6gsE.jpg,0,0
104,2198,./annot_3000_hate/EegJOCQWAAAm0bS.jpg,0,0
105,223,./annot_3000_hate/Ey_gnwdXMAEpFOX.png,0,0
106,1433,./annot_3000_hate/ERQI7QpX0AUtmyw.jpg,1,0
107,614,./annot_2000_no_politics/EpGrdAOXEAcLGF5.jpg,0,0
