id,img,label,pred_gv,pred_cl,pred_da,pred_amz,pred_total
0,./annot_3000_hate/EfzVXLnX0AIp4ZB.jpg,1,0,0,0,0,0
0,./annot_2000_no_politics/EfSackBUYAAiGXv.jpg,0,0,0,0,0,0
1,./annot_2000_no_politics/EV6x0GLU4AA2Km2.jpg,0,0,0,0,0,0
1,./annot_3000_hate/EyJTcl3WEAIGS0A.jpg,0,0,0,0,0,0
2,./annot_3000_hate/EepwWgJWoAA3pBS.jpg,0,0,0,0,0,0
2,./annot_2000_no_politics/EfBar8xVAAAafL6.jpg,0,0,0,0,0,0
3,./annot_3000_hate/Epa2xTmVEAA70b9.jpg,0,0,0,0,0,0
3,./annot_2000_no_politics/EpRP-tCXMAUzZnn.jpg,0,0,0,0,0,0
4,./annot_2000_no_politics/ERiv_fDW4AAVB0x.jpg,0,0,0,0,0,0
4,./annot_3000_hate/EQlrbqFVAAACJSY.jpg,0,0,0,0,0,0
5,./annot_2000_no_politics/EQUy8cqWkAANr67.jpg,0,0,0,0,0,0
5,./annot_3000_hate/EfJmYo8WkAYrz4M.jpg,0,0,0,0,0,0
6,./annot_2000_no_politics/EoWJS5FW8AI_k2a.jpg,1,0,0,0,0,0
6,./annot_3000_hate/EWydAXHWoAEKvxq.jpg,0,0,0,0,0,0
7,./annot_2000_no_politics/EzqII4YVkAEOpZf.jpg,0,0,0,0,0,0
7,./annot_3000_hate/EfKs15LXYAQK2hQ.jpg,0,0,0,0,0,0
8,./annot_2000_no_politics/EWzv-z7WkAArvv6.jpg,1,0,0,0,0,0
8,./annot_3000_hate/EysUN0nVcAAnxOl.jpg,0,0,0,0,0,0
9,./annot_3000_hate/ERjIZVaWkAM8rnV.jpg,1,0,0,0,0,0
9,./annot_2000_no_politics/E0Gp7svUcAIATPt.jpg,0,0,0,0,0,0
10,./annot_2000_no_politics/EWcR3HwU0AYGUQC.jpg,1,0,0,0,0,0
10,./annot_3000_hate/EofPz8rXUAUM1SH.jpg,1,0,0,0,0,0
11,./annot_3000_hate/EV7o7AbXQAAV9Le.jpg,0,1,0,0,0,1
11,./annot_2000_no_politics/EqNvxFvXIAQpAHW.jpg,0,0,0,0,0,0
12,./annot_3000_hate/EU2TIAEUwAYaAbK.jpg,0,0,0,0,0,0
12,./annot_2000_no_politics/EgDPo5xXkAIfFvf.png,0,0,0,0,0,0
13,./annot_3000_hate/EfUDZXUUMAgWMow.jpg,1,0,0,0,0,0
13,./annot_2000_no_politics/EQXALPxWsAAfVci.jpg,0,0,0,0,0,0
14,./annot_3000_hate/EUhKUwcXsAE_9Cu.jpg,0,0,0,0,0,0
14,./annot_2000_no_politics/EQSictyXkAA_sbP.png,0,0,0,0,0,0
15,./annot_2000_no_politics/EWxz9iCXQAE6m-U.jpg,0,0,0,0,0,0
15,./annot_3000_hate/EyA356YWYAIcBkb.jpg,0,0,0,0,0,0
16,./annot_3000_hate/EzlHpvlWUAIDFdJ.jpg,0,1,0,0,0,1
16,./annot_2000_no_politics/EU6Mrr-X0AI6aNo.jpg,1,0,0,0,0,0
17,./annot_3000_hate/EVbzvX2X0AEUTrH.jpg,0,0,0,0,0,0
17,./annot_2000_no_politics/Epj6SPkXcAIIVvw.jpg,1,1,0,0,0,1
18,./annot_2000_no_politics/EfyGWNhUcAAQh11.jpg,1,0,0,0,0,0
18,./annot_3000_hate/EzcbUKgWQAUN1BM.png,0,0,0,0,0,0
19,./annot_3000_hate/EQTtFf_UEAA1uYK.jpg,0,0,0,0,0,0
