,id,img,label,pred_da
0,2624,./annot_3000_hate/EzWHfA6UYAMCfyA.jpg,0,"{'id': '13dd9aea-c01e-4a53-b438-6bdb88d4bec6', 'output': {'detections': [], 'nsfw_score': 0.00015561465988866985}}"
1,1337,./annot_2000_no_politics/EzvpWClUYAE2RMy.jpg,0,"{'id': 'a52b9caa-1f73-40b7-acc1-608882ae9f56', 'output': {'detections': [], 'nsfw_score': 0.004617547616362572}}"
2,636,./annot_2000_no_politics/EehKIFgXoAAQHVp.jpg,0,"{'id': '49d335dc-6156-4689-8565-904064adc83b', 'output': {'detections': [], 'nsfw_score': 0.07319903373718262}}"
3,1946,./annot_3000_hate/Eogl0jOXEAEnplo.jpg,0,"{'id': '4c00ce49-e4f2-45f1-a0ea-05192e5223f1', 'output': {'detections': [], 'nsfw_score': 0.0003443922323640436}}"
4,1927,./annot_2000_no_politics/EUhWmuCWsAIQJtu.jpg,0,"{'id': '4a219f87-24e4-47f9-bd2b-2a0f1443d0dc', 'output': {'detections': [], 'nsfw_score': 0.009027712047100067}}"
5,674,./annot_3000_hate/EorZIJsXcAA7PGl.jpg,0,"{'id': '694a59b1-b9d0-4230-ba07-a1f75f9727cc', 'output': {'detections': [], 'nsfw_score': 0.00045460203546099365}}"
6,1884,./annot_2000_no_politics/ERL_v82VAAARqoI.jpg,0,"{'id': '60158a66-3497-40e8-9fe2-dcd9c92ff08c', 'output': {'detections': [], 'nsfw_score': 0.014128941111266613}}"
7,759,./annot_2000_no_politics/EV7q_Z_XsAAq4SZ.jpg,0,"{'id': 'c2daa604-368b-45b0-91e5-ad90bfb951d9', 'output': {'detections': [], 'nsfw_score': 0.18302559852600098}}"
8,1148,./annot_3000_hate/EepbmdDVoAAAzF8.jpg,0,"{'id': 'ede7c157-6c36-41fb-af19-7b099d131e07', 'output': {'detections': [], 'nsfw_score': 0.009173283353447914}}"
9,2026,./annot_3000_hate/EWDwHrMUYAAXX1k.jpg,1,"{'id': '3e3e057a-cb9e-498d-8f4f-1fe91eb1ac5e', 'output': {'detections': [], 'nsfw_score': 0.0012570536928251386}}"
10,1151,./annot_2000_no_politics/EqaZTL2VoAsmkjP.jpg,0,"{'id': '6fc0ef16-62d8-431d-aff7-8a22d524c089', 'output': {'detections': [], 'nsfw_score': 0.0037215459160506725}}"
11,2268,./annot_3000_hate/EeWQL2UWoAIQFLx.jpg,0,"{'id': '066b5347-98c2-458b-a245-7e87b65f2ee3', 'output': {'detections': [], 'nsfw_score': 0.0047881887294352055}}"
12,292,./annot_3000_hate/EVpKFgUU8AAKPPp.jpg,1,"{'id': '0d64102f-5e8f-4344-96c7-06526472e2eb', 'output': {'detections': [], 'nsfw_score': 0.00398812023922801}}"
13,210,./annot_3000_hate/EgHdal6XsAA8NU9.jpg,1,"{'id': '03e24898-223a-4dd6-a79e-c1d3fa090504', 'output': {'detections': [], 'nsfw_score': 0.0031554177403450012}}"
14,704,./annot_2000_no_politics/EUlYrgdVAAAcUrA.jpg,0,"{'id': '481ac0be-1316-45a8-82a4-3216b0a9d84a', 'output': {'detections': [], 'nsfw_score': 0.0008219361770898104}}"
15,1503,./annot_2000_no_politics/EyDnq35XAAgTHWj.jpg,1,"{'id': '9040ffdf-7cc1-4c82-bfe6-1b70011d47d4', 'output': {'detections': [], 'nsfw_score': 0.0016101456712931395}}"
16,572,./annot_2000_no_politics/EWBi6CGXQAAZfHX.jpg,0,"{'id': '6b350f72-74e6-496e-b35e-6c7d53c6c62b', 'output': {'detections': [], 'nsfw_score': 0.022360432893037796}}"
17,2096,./annot_3000_hate/EWg14lKXkAACbMH.jpg,0,"{'id': 'cf0c178d-b6c4-46e1-8578-a1a063ed5f05', 'output': {'detections': [], 'nsfw_score': 0.00038838331238366663}}"
18,1127,./annot_2000_no_politics/EPwHth8WoAAuZBW.jpg,1,"{'id': '19b8d33a-8b9f-4838-a6f7-ba260bf06490', 'output': {'detections': [], 'nsfw_score': 0.04206458851695061}}"
19,1543,./annot_2000_no_politics/ERLxOVpW4AI4V6c.jpg,0,"{'id': '8975b059-6b6c-40fc-b4ca-8bce8e108495', 'output': {'detections': [], 'nsfw_score': 0.061700012534856796}}"
20,1881,./annot_3000_hate/EWln_c0U4AAW9Lh.jpg,0,"{'id': '3c004aa2-49d9-4c10-8d50-ffd1b7e1ed24', 'output': {'detections': [], 'nsfw_score': 0.021523650735616684}}"
