,id,img,label,pred_adult,pred_medical,pred_viol,pred_racy
0,1438,./annot_2000_no_politics/EQw2J_mX0AAxvoq.jpg,1,1,1,2,1
1,172,./annot_2000_no_politics/EWAuxVaWkAIv7Nv.jpg,0,1,1,1,2
2,2156,./annot_3000_hate/EeoBkhCXoAAc5IQ.jpg,0,2,2,2,2
3,2749,./annot_3000_hate/EgbTs6AWsAAHAj9.jpg,1,1,1,2,1
4,738,./annot_2000_no_politics/E0KvNiSVIAQ4vZR.jpg,1,1,2,2,1
5,426,./annot_2000_no_politics/EV3EIQeUYAUmjrQ.jpg,0,1,1,2,1
6,1508,./annot_2000_no_politics/EzAsFNjWYAIvEzm.jpg,0,1,2,1,1
7,668,./annot_3000_hate/EfkA6KuX0AIgFYH.jpg,1,1,2,2,1
8,315,./annot_3000_hate/EgYy-4CWAAE26y8.png,0,1,1,2,1
9,2572,./annot_3000_hate/EVaYRAlXYAEBu_x.png,0,1,1,1,1
10,174,./annot_2000_no_politics/EuhZ17TVgAIB2XF.jpg,1,2,2,2,3
11,1651,./annot_2000_no_politics/Eogkg7aWEAM5TGP.jpg,0,1,2,2,2
12,2071,./annot_3000_hate/EV0xCsfU8AYgeFB.jpg,0,1,1,2,2
13,2090,./annot_3000_hate/EWAikEQUcAApNQq.jpg,0,2,1,1,1
14,2909,./annot_3000_hate/EowC9x0XUAMe4Zm.jpg,1,1,1,2,1
15,2580,./annot_3000_hate/EU15s-TX0AE5RNK.jpg,0,1,1,2,1
16,1280,./annot_2000_no_politics/E0AurqjX0AE96Ay.png,0,1,1,1,1
17,2500,./annot_3000_hate/EewG_pMXoAASnoa.jpg,0,1,1,2,1
18,1772,./annot_3000_hate/EgJ_-XJXYAA4vyZ.jpg,1,1,2,1,2
19,1493,./annot_2000_no_politics/Ez6hF2nUcAMBkLl.jpg,0,2,2,2,2
20,250,./annot_2000_no_politics/EpZFMPBWEAEGaYG.jpg,1,2,1,1,3
21,438,./annot_3000_hate/EpVOiDFW4AUVADw.jpg,0,1,1,2,1
22,707,./annot_2000_no_politics/EpsVW4ZWwAEdCYC.jpg,0,1,1,1,2
23,1064,./annot_3000_hate/EVrndZHUYAIxWVu.jpg,1,1,2,2,1
24,1966,./annot_2000_no_politics/Et0QMfdXYAEungr.jpg,1,1,1,2,1
25,1274,./annot_2000_no_politics/EUveRjrUUAEALMZ.jpg,0,1,1,2,1
26,1703,./annot_2000_no_politics/EeabIrfXkAE-EhH.jpg,0,1,2,1,1
27,1730,./annot_2000_no_politics/EQXWJgHXUAAF7sc.jpg,1,1,1,1,2
28,2535,./annot_3000_hate/EWa0NXQWkAUhWtL.jpg,0,2,2,2,3
29,262,./annot_2000_no_politics/EyxmVc7UUAI7hrD.jpg,0,1,2,1,1
30,236,./annot_2000_no_politics/Et8ftM3XEAIt0Zq.jpg,0,1,1,1,1
31,1776,./annot_3000_hate/EWhXOD0WoAA3B4e.jpg,0,1,1,2,1
32,1801,./annot_3000_hate/EQ8zC6-WsAAfySM.jpg,0,1,1,2,1
33,1679,./annot_3000_hate/EgOuKuEXYAQWaWF.png,0,1,1,1,2
34,2848,./annot_3000_hate/Egq5c4mXgAALIHh.jpg,0,1,2,2,1
35,345,./annot_2000_no_politics/EQDcmCWXsAENWOn.jpg,0,1,2,2,1
36,866,./annot_2000_no_politics/EoU-s4SXYAMJQ54.jpg,0,1,2,2,1
37,819,./annot_2000_no_politics/EpkHTpxUcAA17TM.jpg,0,1,2,2,1
38,2387,./annot_3000_hate/EUi9Ri0VAAAk1Kc.jpg,0,1,2,1,1
39,1078,./annot_3000_hate/EP5dZchXUAEiASY.jpg,1,2,2,2,2
40,1210,./annot_3000_hate/EvA-lyxVkAE_vMq.jpg,0,1,2,2,1
41,248,./annot_2000_no_politics/Eu-RfzKWgAE_G5H.jpg,0,1,2,1,2
42,2389,./annot_3000_hate/EWlBGamUwAEnxMa.jpg,0,3,2,1,2
43,42,./annot_3000_hate/Ex6vMUdXAAAOoqo.jpg,0,2,2,2,2
44,1351,./annot_2000_no_politics/ERQSD_-XsAAMHbI.png,0,1,2,1,1
45,2740,./annot_3000_hate/EQ1W6IlW4AADRe0.jpg,0,1,1,2,2
46,700,./annot_3000_hate/EUhOG2TWsAEwQRY.png,0,1,1,2,1
47,2460,./annot_3000_hate/EzxRi_yUUAEAgqR.jpg,0,1,1,2,1
48,1141,./annot_3000_hate/EWOnL3UXQAIjelY.jpg,1,1,2,2,1
49,1922,./annot_2000_no_politics/ERxM5_hXkAI4NaS.jpg,0,1,2,2,2
50,1792,./annot_3000_hate/EgQ10SqXsAEdCGq.jpg,1,2,3,2,5
51,2878,./annot_3000_hate/EerYRblVAAA0Xwv.jpg,1,1,2,2,1
52,199,./annot_3000_hate/EptKhHOWMAMaGMm.png,1,1,1,2,1
53,2552,./annot_3000_hate/EUfsuFiWoAAAuWQ.jpg,0,2,1,1,2
54,1578,./annot_2000_no_politics/EyJ6Z-WW8AE8RWO.png,0,1,1,1,1
55,743,./annot_2000_no_politics/EVL-rT4WsAM96Mu.jpg,0,1,2,2,2
56,802,./annot_3000_hate/EgMw8LGXkAENLVn.jpg,1,1,2,2,1
57,1279,./annot_3000_hate/Ef4TWY8U0AAhFXZ.jpg,0,1,1,2,1
58,2931,./annot_3000_hate/EWNpdcOWoAAcalw.jpg,1,1,2,2,1
59,624,./annot_3000_hate/EQgh9u8WAAI2DhX.jpg,0,1,2,2,2
60,1035,./annot_3000_hate/EWeIoSlX0AIQvn8.jpg,1,1,1,2,2
61,2756,./annot_3000_hate/EeXjQXyVAAElhtB.png,0,1,2,2,1
62,71,./annot_3000_hate/EQn4TbbUwAExGcT.jpg,0,2,2,2,1
63,2329,./annot_3000_hate/EeXUn4mWsAI7pn_.jpg,0,1,3,2,1
64,1386,./annot_2000_no_politics/EWy9xCrWkAEUFpg.jpg,0,2,2,2,2
65,1424,./annot_3000_hate/EWais79X0AA_R7h.jpg,1,2,2,2,4
66,1452,./annot_3000_hate/EV1Df6XXYAE944Z.jpg,1,1,1,1,1
67,480,./annot_2000_no_politics/EUiYiM6WAAcapl3.jpg,0,1,2,2,1
68,278,./annot_3000_hate/EV103qZWkAAwrSk.jpg,0,1,1,1,1
69,1411,./annot_3000_hate/EUxJiidWsAIA2jl.jpg,0,1,3,2,2
70,1736,./annot_2000_no_politics/EoOmz2JVQAEYXQs.jpg,0,1,1,1,1
71,1871,./annot_3000_hate/EffrOgNU4AAcOgu.jpg,0,1,1,2,1
72,1118,./annot_3000_hate/EQ8FtUxWoAACZIp.jpg,0,1,2,2,2
73,2615,./annot_3000_hate/EvCgCsGVcAAvgKw.jpg,0,1,1,2,1
74,628,./annot_3000_hate/Ee3YJcGUwAEdGZJ.jpg,0,1,1,1,1
75,478,./annot_3000_hate/EWitNLBXQAwy-_W.jpg,0,1,2,2,1
76,25,./annot_2000_no_politics/Eojhbh9W4AEyn-Q.jpg,1,1,2,2,1
77,1221,./annot_3000_hate/Eeb4HB9U8AAu0Ob.jpg,0,2,2,1,1
78,1530,./annot_2000_no_politics/EVE3hrYU8AAXUJw.jpg,0,1,1,1,1
79,401,./annot_3000_hate/Eyqv3EwXEAInfyw.jpg,0,1,2,2,1
80,1577,./annot_3000_hate/EzUFWHaUUA4tttL.jpg,0,1,1,2,1
81,80,./annot_3000_hate/EgTTxUuWkAkxkbw.jpg,0,1,1,1,1
82,782,./annot_3000_hate/Epn99B1W8AE5Fy4.png,0,1,1,1,1
83,2134,./annot_3000_hate/EewPS_7XkAANnpw.jpg,1,1,1,2,1
84,1053,./annot_2000_no_politics/EujgN8aWQAQM4qC.jpg,1,1,1,2,1
85,1434,./annot_2000_no_politics/Egl64_NX0AEXpkH.jpg,1,1,1,2,1
86,2965,./annot_3000_hate/EgO2bwzXkAAB7Vu.jpg,0,1,1,1,1
87,1880,./annot_2000_no_politics/EzRcueoVkAUSuJR.jpg,0,1,2,2,1
88,1509,./annot_3000_hate/EqYRSdoU0AAXRty.jpg,1,1,1,1,1
89,1942,./annot_2000_no_politics/EprgPF_W8AIQw5d.jpg,0,1,2,2,1
90,2320,./annot_3000_hate/Eo9Vd-fW8AgBUL8.png,0,1,2,1,1
91,1286,./annot_2000_no_politics/EU1XaQDWkAMKieW.jpg,0,1,1,2,2
92,1174,./annot_2000_no_politics/EWzSy7OWoAYH0cn.jpg,0,1,1,2,2
93,1362,./annot_2000_no_politics/EQNyVVSVAAAeNst.jpg,0,2,2,1,1
94,329,./annot_3000_hate/EoyS4DMXcAUqOqV.png,0,1,1,2,1
95,977,./annot_3000_hate/EpGvesfW8AAEPgz.jpg,0,1,2,3,2
96,799,./annot_3000_hate/EP_GI76UUAAIrEw.jpg,0,2,1,2,1
97,2981,./annot_3000_hate/EokRC2nW8AIvK-U.jpg,0,1,2,2,1
98,30,./annot_3000_hate/Ep-_-a8UYAE20Q9.jpg,0,1,1,2,1
99,1803,./annot_2000_no_politics/EfBk7q9UMAAgefa.jpg,0,1,2,2,1
100,1242,./annot_3000_hate/EysmjPyWUAQ26ty.jpg,0,1,2,1,1
101,2602,./annot_3000_hate/EedpB4TXsAY-K07.jpg,0,1,2,2,3
102,501,./annot_3000_hate/EV9XZbcUwAIZwbN.jpg,0,1,2,2,1
103,841,./annot_2000_no_politics/EyCfF5xWgAMlTJd.jpg,1,1,2,2,1
104,2666,./annot_3000_hate/EVMCpJxXQAEsSLi.jpg,0,1,1,1,1
105,1252,./annot_2000_no_politics/EQWQFQJXkAEdYT0.jpg,0,2,1,2,2
106,9,./annot_3000_hate/ERjIZVaWkAM8rnV.jpg,1,1,2,2,2
107,1109,./annot_3000_hate/EgaNGo5UEAAIxp_.jpg,0,1,2,1,1
108,2220,./annot_3000_hate/EWOPfsKUcAAEBcZ.jpg,0,1,2,1,2
109,466,./annot_3000_hate/EelnHSBWsAA4cVE.jpg,1,1,1,1,3
110,1332,./annot_2000_no_politics/Ezz3wKwVcAIooGC.jpg,0,1,2,2,1
111,1297,./annot_2000_no_politics/EUjIk5jXsAMEfP5.jpg,1,1,1,1,2
112,2117,./annot_3000_hate/Eo9kSQWWEAA5ppx.jpg,0,1,1,2,1
113,1448,./annot_3000_hate/EfORCL7XsAEFqbr.jpg,1,1,1,1,1
114,2842,./annot_3000_hate/EgY0_DiX0AArsTq.jpg,0,1,2,2,1
115,2000,./annot_3000_hate/Ee7I382UEAEpP1s.jpg,0,1,2,2,2
116,939,./annot_3000_hate/EV6A-IiUEAAg6qW.jpg,0,1,2,2,1
117,1701,./annot_2000_no_politics/EWZCkFPXsAAM9pN.jpg,0,1,2,2,2
118,1346,./annot_2000_no_politics/EVRnc8vWsAUhoiA.jpg,0,2,2,2,2
119,1513,./annot_2000_no_politics/Ef4AcHrXoAIl_NM.jpg,0,1,1,1,1
120,2133,./annot_3000_hate/Egsj-zMUMAAb7MN.jpg,1,1,1,1,1
121,722,./annot_3000_hate/EoWCDdyXEAAnkj6.jpg,0,1,1,2,1
122,2445,./annot_3000_hate/EWnYvRpVAAI7XGC.jpg,0,1,2,2,1
123,2038,./annot_3000_hate/ERsOfO2XUAAL-nP.jpg,0,1,1,2,1
124,1630,./annot_3000_hate/EVT4XJ_UEAEBGoP.jpg,0,2,2,2,1
125,1519,./annot_3000_hate/EjoZezgXkAEP-1k.jpg,1,2,2,2,5
126,434,./annot_3000_hate/EWnBueSXYAEH6vy.jpg,1,1,1,2,2
127,1460,./annot_2000_no_politics/ERfP92wXkAAQC87.jpg,0,1,2,1,1
128,1518,./annot_3000_hate/EyajOUgXMAAf7V2.jpg,0,1,1,1,1
129,727,./annot_2000_no_politics/EpSu51NVQAA-osx.jpg,0,1,1,2,1
130,2141,./annot_3000_hate/EWdI_uoXkAQ74_w.jpg,0,1,2,1,1
131,256,./annot_2000_no_politics/Ez8Im5bX0AEj5ty.jpg,1,1,2,2,3
132,802,./annot_2000_no_politics/EWjsll3VcAAzaK2.jpg,0,1,2,2,1
133,612,./annot_2000_no_politics/EgOiuxdU4AA0InW.jpg,1,1,1,2,1
134,267,./annot_2000_no_politics/EWZy7LXUwAMzuQ3.jpg,0,1,1,1,2
135,460,./annot_3000_hate/EWDervmXQAI073a.jpg,1,1,2,2,1
136,1812,./annot_3000_hate/EovLxVMXcAI-g5e.jpg,0,1,1,1,2
137,2282,./annot_3000_hate/EpD1CY6WMAIWEmv.jpg,1,1,1,2,1
138,1597,./annot_2000_no_politics/EuHa87qWgAksLJm.jpg,1,1,2,2,1
139,846,./annot_2000_no_politics/ERZYkmSUYAAlM1z.jpg,0,1,1,2,1
140,2066,./annot_3000_hate/EVXWdTdXYAIGDpT.jpg,0,1,2,2,1
141,1884,./annot_3000_hate/EpoOkhFXMAAifoO.jpg,0,1,2,2,1
142,1637,./annot_3000_hate/ERjhB6PWkAAlYbi.jpg,1,1,2,2,1
143,2565,./annot_3000_hate/EgFQgIxWAAILZvs.jpg,0,1,2,2,1
144,1298,./annot_2000_no_politics/EWe3RZIUwAMsKRk.jpg,1,1,1,2,2
145,2743,./annot_3000_hate/EyPTPRgWUAQnyKA.jpg,0,2,2,1,1
146,1773,./annot_2000_no_politics/Et3zK7pXEAMWBEq.jpg,1,1,2,2,1
147,1125,./annot_2000_no_politics/EokoYryXUAA9niB.jpg,1,1,2,2,1
148,1746,./annot_3000_hate/EeZEz83XYAAz1tj.jpg,0,2,1,1,1
149,2703,./annot_3000_hate/EVXiup_WkAEFmEP.jpg,0,1,2,2,1
